Table Name,File Path,Data Element,Data Type,Bizterm Group,Layer,Business Term,Description,Biz Logic,Origin (Source Data),Sensitivity (PII/non PII),Impact,Time Aggregation,Possible Values
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,cooking_days_since_first_usage,int,internet_apps_usage,feature,,number of days since first usage of cooking category accessed over last 3 months,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - days_since_first_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,cooking_days_since_last_usage,int,internet_apps_usage,feature,,number of days since last usage of cooking category accessed over last 3 months,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - days_since_last_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_data_vol_01w,bigint,internet_apps_usage,feature,,total data used for credit lending company category apps over last 1 week,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - data_vol_01w,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_data_vol_02w,bigint,internet_apps_usage,feature,,total data used for credit lending company category apps over last 2 weeks,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - data_vol_02w,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_data_vol_03w,bigint,internet_apps_usage,feature,,total data used for credit lending company category apps over last 3 weeks,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - data_vol_03w,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_data_vol_01m,bigint,internet_apps_usage,feature,,total data used for credit lending company category apps over last 1 month,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - data_vol_01m,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_data_vol_02m,bigint,internet_apps_usage,feature,,total data used for credit lending company category apps over last 2 months,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - data_vol_02m,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_data_vol_03m,bigint,internet_apps_usage,feature,,total data used for credit lending company category apps over last 3 months,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - data_vol_03m,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_latency_4g_weekdays_01w,"decimal(38,22)",internet_apps_usage,feature,,average latency for credit lending company category apps on weekdays over last 1 week,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - latency_4g_weekdays_01w,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_latency_4g_weekdays_01m,"decimal(38,12)",internet_apps_usage,feature,,average latency for credit lending company category apps on weekdays over last 1 month,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - latency_4g_weekdays_01m,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_latency_4g_weekdays_02m,"decimal(38,12)",internet_apps_usage,feature,,average latency for credit lending company category apps on weekdays over last 2 months,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - latency_4g_weekdays_02m,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_latency_4g_weekends_01w,"decimal(38,22)",internet_apps_usage,feature,,average latency for credit lending company category apps on weekends over last 1 week,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - latency_4g_weekends_01w,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_latency_4g_weekends_01m,"decimal(38,12)",internet_apps_usage,feature,,average latency for credit lending company category apps on weekends over last 1 month,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - latency_4g_weekends_01m,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_latency_4g_weekends_02m,"decimal(38,12)",internet_apps_usage,feature,,average latency for credit lending company category apps on weekends over last 2 months,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - latency_4g_weekends_02m,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_speed_4g_weekdays_01w,double,internet_apps_usage,feature,,average speed for credit lending company category apps on weekdays over last 1 week,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - speed_4g_weekdays_01w,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_speed_4g_weekdays_01m,double,internet_apps_usage,feature,,average speed for credit lending company category apps on weekdays over last 1 month,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - speed_4g_weekdays_01m,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_speed_4g_weekdays_02m,double,internet_apps_usage,feature,,average speed for credit lending company category apps on weekdays over last 2 months,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - speed_4g_weekdays_02m,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_speed_4g_weekends_01w,double,internet_apps_usage,feature,,average speed for credit lending company category apps on weekends over last 1 week,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - speed_4g_weekends_01w,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_speed_4g_weekends_01m,double,internet_apps_usage,feature,,average speed for credit lending company category apps on weekends over last 1 month,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - speed_4g_weekends_01m,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_speed_4g_weekends_02m,double,internet_apps_usage,feature,,average speed for credit lending company category apps on weekends over last 2 months,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - speed_4g_weekends_02m,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_accessed_apps_01w,bigint,internet_apps_usage,feature,,number of distinct apps of credit lending company category accessed over last 1 week,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - accessed_apps_01w,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_accessed_apps_02w,bigint,internet_apps_usage,feature,,number of distinct apps of credit lending company category accessed over last 2 weeks,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - accessed_apps_02w,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_accessed_apps_03w,bigint,internet_apps_usage,feature,,number of distinct apps of credit lending company category accessed over last 3 weeks,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - accessed_apps_03w,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_accessed_apps_01m,bigint,internet_apps_usage,feature,,number of distinct apps of credit lending company category accessed over last 1 month,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - accessed_apps_01m,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_accessed_apps_02m,bigint,internet_apps_usage,feature,,number of distinct apps of credit lending company category accessed over last 2 months,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - accessed_apps_02m,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_accessed_apps_03m,bigint,internet_apps_usage,feature,,number of distinct apps of credit lending company category accessed over last 3 months,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - accessed_apps_03m,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_days_since_first_usage,int,internet_apps_usage,feature,,number of days since first usage of credit lending company category accessed over last 3 months,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - days_since_first_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
l5_pivoted_internet_app_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/pivoted_internet_app_usage.parquet,credit_lending_company_days_since_last_usage,int,internet_apps_usage,feature,,number of days since last usage of credit lending company category accessed over last 3 months,,"hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - days_since_last_usage,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/internet_apps_usage/internet_app_usage.parquet - category",No,Low,Weekly,Any number
